ph,temperature,tds,turbidity,is_anomaly,timestamp
7.3920020316176585,24.18827424894551,134.40174223866302,1.2190072119370035,0,2025-01-01 00:01:44.000000
7.118134188475036,21.044775955680418,175.07093508643095,1.277118892972741,0,2025-01-01 00:13:40.000000
7.4395084271884615,21.464661712013335,73.00737316094589,3.0833330315295253,0,2025-01-01 00:31:24.000000
7.791730939718755,20.692555989258206,167.56182843311305,3.35279555890903,0,2025-01-01 00:44:42.000000
7.1143135082445434,30.722834760512086,50.21881726723633,1.5443741394875314,0,2025-01-01 01:01:16.000000
7.117069609204444,28.905631473964227,128.00064931405313,1.5042000853982753,0,2025-01-01 01:16:00.000000
7.809825611541822,24.84052851601597,94.77521499692078,1.4608321783059424,0,2025-01-01 01:31:11.000000
7.535538879948364,28.688688631448596,54.45355575269477,0.8843159271435168,0,2025-01-01 01:46:47.000000
7.024790661776497,26.272359947369125,74.21874937181705,3.226923599514619,0,2025-01-01 01:58:45.000000
7.391263092597634,23.85602392141814,88.70675693101889,2.1972385296451638,0,2025-01-01 02:15:32.000000
7.033681259038238,16.741376960180503,108.41412404763288,1.1808872829237091,0,2025-01-01 02:29:07.000000
6.996849589675282,21.93723202532497,90.68894922033718,2.0325907566700807,0,2025-01-01 02:43:46.000000
7.314506974869938,21.361930813862084,120.66709976656861,1.5242555435937595,0,2025-01-01 02:58:28.000000
6.433907839749361,17.915756702775585,80.06356128249085,4.957568413594067,0,2025-01-01 03:13:23.000000
6.507380086304299,16.853702224333293,97.22716272805621,1.7909142481618925,0,2025-01-01 03:29:45.000000
6.99365972554609,25.049000497971992,107.3043219257663,2.747950066983834,0,2025-01-01 03:44:24.000000
6.797434041932524,24.77993301442878,129.57384648241447,2.466154230809054,0,2025-01-01 03:58:57.000000
7.332950870857618,18.398867549987134,159.32514134247617,1.813004382293581,0,2025-01-01 04:16:52.000000
6.82062052990082,20.14215704134117,166.5108065948774,2.574936610635633,0,2025-01-01 04:31:22.000000
6.639256767597172,27.52059526365766,131.24407027070555,2.319553291353269,0,2025-01-01 04:43:26.000000
7.770971452243502,19.432530564907697,143.83308573022774,5.031847525968361,0,2025-01-01 05:01:59.000000
7.099000248256667,23.41219437782754,138.34513706117838,2.082466723111467,0,2025-01-01 05:13:47.000000
7.221384048155102,22.386678055571313,105.79739037388012,1.3474105435585484,0,2025-01-01 05:31:48.000000
6.627856517300535,25.303570809842398,165.83003709916687,4.755254021597129,0,2025-01-01 05:43:40.000000
